Latitude,Longitude,CustType
-6.8208371,39.2843636,personal
-6.8055176,39.2737513,personal
-6.7053324,39.1127352,personal
-6.81379971,39.24707658,personal
-6.7053324,39.1127352,personal
-6.721023122,39.21067827,personal
-6.8038095,39.166302,personal
-6.369028,34.888822,personal
-6.8197286,39.2729993,personal
-6.7053324,39.1127352,corporate
-6.826603,39.2526959,corporate
-6.8107874,39.2596277,personal
-6.8038095,39.166302,personal
-6.790518415,39.25080541,personal
-6.7996247,39.2675177,corporate
-6.8118522,39.2126716,personal
-6.7405999,39.1489979,personal
-6.71097236,39.18832287,personal
-6.73759115,39.11134372,personal
-6.777355927,39.2718272,personal
-6.777269548,39.23318302,personal
-6.8027967,39.266236,personal
-6.80905,39.2352017,personal
-6.762232511,39.2421776,personal
-6.723184106,39.22959957,personal
-6.670969865,39.15417677,personal
-6.9275886,39.1335549,personal
-6.631617,39.188174,personal
-6.617446607,39.1234073,personal
-6.8035647,39.2036505,personal
-6.7742732,39.2334023,corporate
-6.818322,39.2875377,personal
-6.8197286,39.2729993,personal
-6.7742732,39.2334023,corporate
-6.927244811,39.13355748,personal
-6.7478978,39.114409,personal
-6.8107874,39.2596277,personal
-6.7271309,39.2071368,corporate
-6.6893455,39.1845325,personal
-6.8120817,39.2554967,personal
-6.7405999,39.1489979,personal
-6.7053324,39.1127352,personal
-6.7234766,39.142792,personal
-6.7231168,39.2299377,personal
-6.7414821,39.0881198,personal
-6.7895348,39.1883422,personal
-6.813473791,39.21577737,personal
-6.8197286,39.2729993,personal
-6.7469718,39.1374692,personal
-6.8090633,39.2219019,personal
-6.7405999,39.1489979,personal
-6.740405529,39.14882541,personal
-6.7053324,39.1127352,personal
-6.661333392,39.18280497,personal
-6.8143752,39.1635549,personal
-6.6412631,39.1802383,personal
-6.631617,39.188174,personal
-6.631617,39.188174,personal
-6.7904705,39.2506594,personal
-6.78312,39.1672217,personal
-6.7106354,39.2072926,personal
-6.7220801,39.1452586,personal
-6.7925196,39.2086751,personal
-6.8139798,39.2395925,personal
-6.615694202,39.16801667,personal
-6.7477462,39.1172839,personal
-6.8034054,39.2578404,personal
-6.6364101,39.1651654,personal
-6.7437497,39.0964857,personal
-6.7405999,39.1489979,personal
-6.6173653,39.1235548,personal
-6.745211332,39.11655889,personal
-6.72416178,39.14304167,personal
-6.8107874,39.2596277,personal
-6.8077377,39.0818149,personal
-6.743934237,39.09236275,personal
-6.7852281,39.049843,personal
-6.810851014,39.21979262,personal
-6.8038095,39.166302,personal
-6.752941313,39.13555018,personal
